time,HeatingDemand_2bbd,HeatingDemand_Artiestbuurt_2,HeatingDemand_Artiestenbuurt_1,HeatingDemand_DeStrijp_1,HeatingDemand_DeStrijp_2,HeatingDemand_DeStrijp_3,HeatingDemand_Hoekpolder,HeatingDemand_HuisTeLande,HeatingDemand_Kleurenbuurt,HeatingDemand_Ministerbuurt_1,HeatingDemand_Ministerbuurt_2,HeatingDemand_Muziekbuurt_1,HeatingDemand_Muziekbuurt_2,HeatingDemand_Muziekbuurt_3,HeatingDemand_Presidentenbuurt,HeatingDemand_Rembrandtkwartier_1,HeatingDemand_Rembrandtkwartier_2,HeatingDemand_Stationskwartier,HeatingDemand_Stervoorde_1,HeatingDemand_Stervoorde_2,HeatingDemand_Stervoorde_3,HeatingDemand_Stervoorde_4,HeatingDemand_Stervoorde_5,HeatingDemand_TeWerve_1,HeatingDemand_TeWerve_2,HeatingDemand_TeWerve_3,HeatingDemand_TeWerve_4,HeatingDemand_WelGelegen,HeatingDemand_fea2
20376000.0,28264.932,9343.479,27282.95868,128088.36194000002,128088.36194000002,128088.36194000002,112710.12550000001,74935.67968,35985.208320000005,63361.58703,96550.98976000001,19854.791999999998,19854.791999999998,19854.791999999998,40261.221,28264.932,28264.932,15116.978629999998,40045.99905,59525.16402,103822.9605,29465.94498,37475.14479,27592.278,27592.278,27592.278,27592.278,84983.22888,84983.22888
20379600.0,23419.515,7741.74,22605.8808,106130.35785000001,106130.35785000001,106130.35785000001,93388.3895,62089.56015999999,29816.313600000005,52499.598060000004,79999.38752,16451.112,16451.112,16451.112,33359.297999999995,23419.515,23419.515,12525.494929999999,33180.9696,49320.84864,86024.736,24414.63936,31050.833280000003,22862.175000000003,22862.175000000003,22862.175000000003,22862.175000000003,70414.6751,70414.6751
20383200.0,16555.176,5472.609,15980.01828,75023.18098,75023.18098,75023.18098,66015.9325,43890.899600000004,21077.05152,37111.78317,56551.288640000006,11629.236,11629.236,11629.236,23581.572,16555.176,16555.176,8854.22876,23455.514249999997,34864.7397,60810.5925,17258.6253,21949.72815,16161.192,16161.192,16161.192,16161.192,49775.89584,49775.89584
20386800.0,8075.6939999999995,2669.565,7795.1298,36596.67484,36596.67484,36596.67484,32202.8945,21410.19336,10281.4912,18103.308510000003,27585.993920000004,5672.799,5672.799,5672.799,11503.205,8075.6939999999995,8075.6939999999995,4319.13469,11441.71575,17007.1923,29663.707499999997,8418.8427,10707.18585,7883.508000000001,7883.508000000001,7883.508000000001,7883.508000000001,24280.919959999996,24280.919959999996
20390400.0,2826.492,934.347,2728.29324,12808.83538,12808.83538,12808.83538,11271.011499999999,7493.5668,3598.5164800000002,6336.15822,9655.098240000001,1985.478,1985.478,1985.478,4026.1234999999997,2826.492,2826.492,1511.6964199999998,4004.5995000000003,5952.5158,10382.295,2946.5942,3747.5141000000003,2759.229,2759.229,2759.229,2759.229,8498.31928,8498.31928
20394000.0,2176.947,533.913,1559.02596,7319.33334,7319.33334,7319.33334,6440.577499999999,4282.0398399999995,2056.2982400000005,3620.65977,5517.19584,1134.558,1134.558,1134.558,2300.6409999999996,2176.947,2176.947,863.8279,2288.34315,3401.43846,5932.7415,1683.76854,2141.43717,1576.701,1576.701,1576.701,1576.701,6545.35398,6545.35398
20397600.0,981.966,133.5,389.82,1829.8353700000002,1829.8353700000002,1829.8353700000002,1610.1435,1070.50704,513.5360000000001,905.16615,1379.3008,283.5,283.5,283.5,575.162,981.966,981.966,215.96899999999997,572.0867999999999,850.3611199999999,1483.188,420.94288,535.36024,394.176,394.176,394.176,394.176,2952.4444399999998,2952.4444399999998
20401200.0,1001.748,133.5,389.82,1829.8353700000002,1829.8353700000002,1829.8353700000002,1610.1435,1070.50704,513.5360000000001,905.16615,1379.3008,283.5,283.5,283.5,575.162,1001.748,1001.748,215.96899999999997,572.0867999999999,850.3611199999999,1483.188,420.94288,535.36024,394.176,394.176,394.176,394.176,3011.9223199999997,3011.9223199999997
20404800.0,1416.3629999999998,267.0,779.64,3659.66667,3659.66667,3659.66667,3220.2905,2141.0199199999997,1028.16,1810.3323,2758.6016,567.279,567.279,567.279,1150.3204999999998,1416.3629999999998,1416.3629999999998,431.93799999999993,1144.1695499999998,1700.7162199999998,2966.3655,841.8827799999999,1070.71669,788.352,788.352,788.352,788.352,4258.531419999999,4258.531419999999
20408400.0,4131.177,3970.104,11592.703679999999,12808.83538,12808.83538,12808.83538,11271.011499999999,7493.5668,3598.5164800000002,6336.15822,9655.098240000001,1985.478,1985.478,1985.478,4026.1234999999997,4131.177,4131.177,1511.6964199999998,4004.5995000000003,5952.5158,10382.295,2946.5942,3747.5141000000003,2759.229,2759.229,2759.229,2759.229,12421.07218,12421.07218
20412000.0,41138.04,10623.615,31020.9558,102470.68711000001,102470.68711000001,102470.68711000001,90168.099,68779.39696,28788.164480000003,52254.55767000001,79625.99264000001,15999.825,15999.825,15999.825,32208.977499999994,41138.04,41138.04,16627.054079999998,32036.800049999998,47620.132419999994,83058.3705,23572.75658,29980.11659,23189.283,23189.283,23189.283,23189.283,123688.37359999999,123688.37359999999
20415600.0,87205.85100000001,22072.221,64450.88532,170591.06669,170591.06669,170591.06669,149743.45400000003,104157.11832,61748.1344,84305.45234999999,128465.4512,28850.966999999997,28850.966999999997,28850.966999999997,53489.9085,87205.85100000001,87205.85100000001,20083.98665,53203.971150000005,79083.43366,137936.2215,39147.61334,49788.40757,40145.553,40145.553,40145.553,40145.553,262198.92534,262198.92534
20419200.0,67353.72899999999,21032.096999999998,61413.72323999999,131748.02861,131748.02861,131748.02861,115930.41599999998,77076.69376,124861.58912000003,137351.57940000002,209297.6448,20422.071,20422.071,20422.071,41411.5415,67353.72899999999,67353.72899999999,15548.892579999998,41190.1686,61225.88024,106789.326,30307.82776,38545.86148,73934.02500000001,73934.02500000001,73934.02500000001,73934.02500000001,202510.21185999998,202510.21185999998
20422800.0,58938.576,12206.369999999999,35642.600399999996,155535.86807,155535.86807,155535.86807,136862.2955,111342.32728,43696.332160000005,84199.37105999999,128303.80352,28470.147000000004,28470.147000000004,28470.147000000004,48888.6265,58938.576,58938.576,18356.33085,48627.28485,72280.55673999999,126070.73849999999,35780.076259999994,45505.53323,67743.51000000001,67743.51000000001,67743.51000000001,67743.51000000001,177208.65183999998,177208.65183999998
